
Bob,2
Robert,0
Timothy,0
John,0
Larry,0
Jah,0
Also,0
Sachit,0
ay,1
Sachit,3
Raj,2
Raj ,0
Bob,0
AR,0
,7
joe,10
Raj,5
Hawk,1
John,3
Jim,6
Tim,4
Bob,3
Axel,1
Yondu,5
Raj,8
tim,6
Bob,8
John,0
Rohan,0
Raj,2
Raj,1
